case	model	table	phase	weight	calls	total_ms	avg_us	lhs_shape	rhs_shape	sequence_len
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.7.self_attn.o_proj.weight	4	0.396448	99.112	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.7.self_attn.qkv_proj.weight	4	0.301731	75.433	[1x1x1024]	[5120x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.8.linear_attn.in_proj_qkv_z_ba.weight	4	0.395319	98.830	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.8.linear_attn.out_proj.weight	4	0.494105	123.526	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.8.mlp.down_proj.weight	4	0.275252	68.813	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.8.mlp.gate_up_proj.weight	4	0.342889	85.722	[1x1x1024]	[7168x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.9.linear_attn.in_proj_qkv_z_ba.weight	4	0.399708	99.927	[1x1x1024]	[8224x128]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.9.linear_attn.out_proj.weight	4	0.466325	116.581	[1x1x2048]	[1024x256]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.9.mlp.down_proj.weight	4	0.281351	70.338	[1x1x3584]	[1024x448]	1
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	linear_quantized	decode	model.layers.9.mlp.gate_up_proj.weight	4	0.342710	85.678	[1x1x1024]	[7168x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	embedding_quantized	decode	model.embed_tokens.weight	4	0.443057	110.764	[1x1]	[151936x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.0.mlp.down_proj.weight	4	0.266813	66.703	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.0.mlp.gate_up_proj.weight	4	0.335949	83.987	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.0.self_attn.o_proj.weight	4	0.345919	86.480	[1x1x2048]	[1024x256]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.0.self_attn.qkv_proj.weight	4	0.280442	70.111	[1x1x1024]	[4096x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.1.mlp.down_proj.weight	4	0.256882	64.221	[1x1x3072]	[1024x384]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.1.mlp.gate_up_proj.weight	4	0.332531	83.133	[1x1x1024]	[6144x128]	1
qwen3_0p6b_native4	mlx-community/Qwen3-0.6B-4bit	linear_quantized	decode	model.layers.1.self_attn.o_proj.weight	4	0.330420	82.605	[1x1x2048]	[1024x256]	1
