case	model	run	table	phase	weight	calls	total_ms	avg_us	lhs_shape	rhs_shape	sequence_len	log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.19.mlp.down_proj.weight	4	0.277382	69.3455	[1x1x3584]	[1024x448]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.19.mlp.gate_up_proj.weight	4	0.33543	83.8575	[1x1x1024]	[7168x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.19.self_attn.o_proj.weight	4	0.390629	97.6573	[1x1x2048]	[1024x256]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.19.self_attn.qkv_proj.weight	4	0.298531	74.6328	[1x1x1024]	[5120x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.2.linear_attn.in_proj_qkv_z_ba.weight	4	0.389848	97.462	[1x1x1024]	[8224x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.2.linear_attn.out_proj.weight	4	0.547454	136.863	[1x1x2048]	[1024x256]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.2.mlp.down_proj.weight	4	0.285011	71.2528	[1x1x3584]	[1024x448]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.2.mlp.gate_up_proj.weight	4	0.343819	85.9548	[1x1x1024]	[7168x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.20.linear_attn.in_proj_qkv_z_ba.weight	4	0.394769	98.6923	[1x1x1024]	[8224x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.20.linear_attn.out_proj.weight	4	0.462806	115.701	[1x1x2048]	[1024x256]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.20.mlp.down_proj.weight	4	0.268482	67.1205	[1x1x3584]	[1024x448]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
qwen35_0p8b_native4	mlx-community/Qwen3.5-0.8B-MLX-4bit	1	linear_quantized	decode	model.layers.20.mlp.gate_up_proj.weight	4	0.342111	85.5277	[1x1x1024]	[7168x128]	1	/home/reckon/projects/lemon-mlx-engine/.codeinsight+research/quant_profile_shapes_20260429T194109Z/qwen35_0p8b_native4_run1.log
